Part No	Description	Bin Location 1	Stock	Last Receipt	Av Cost
13368873	GUIDE RIGHT	[Unknown]	1	24-06-25 10:54	290.58
1338A0	THERMO FITTING	G5	1	07-07-22 9:50	0.01
13390573	HARNESS ASSY TRAILER	E5	1	07-07-22 9:50	0.01
134089	O-RING	G5	3	01-07-24 8:24	0.01
13450275	CAP- BLANKING- 24MM	E5	4	07-07-22 9:50	0.01
13465094	TANK-RAD SURGE-CRUZE-12-17	E5	2	14-10-24 14:30	1077.27
13470637	SENSOR-FRT WHL CRUZE-16	E5	1	09-12-24 15:07	1151.49
13502059	BRAKE DISC	E5	2	08-08-23 14:04	0.01
13502398	MIRROR MOTOR	E5	1	08-08-23 14:04	0.01
13507405	VALVE-TYRE-KIT-(FOR	E5	1	01-07-24 8:24	0.01
1351VF	BYPASS PIPE	G5	1	08-04-25 8:45	516.74
13544913	VALVE PLUG	E5	1	30-06-25 14:25	828.85
13581561	SENSOR TIRE PRESS IN	E5	1	25-04-25 14:02	2410.04
1359644080	FILTERING ELEMENT	E9	4	28-10-24 9:00	448.92
1368127080	FUEL FILTER	E7	1	30-04-25 8:20	3048.66
1444TT	AIR FILTER	E3	5	30-06-25 14:33	274.15
1444TV	AIR FILTER (W)	E3	6	02-05-25 14:51	267.76
1444VK	AIR FILTER	E3	2	01-07-24 8:24	0.01
1444VL	AIR FILTER	G2	9	01-07-24 8:24	0.01
1444XE	AIR FILTER	E3	2	08-08-23 14:04	0.01
1444XF	AIR FILTER	E3	5	31-05-21 15:38	226.03
14463980	SEAL	E7	4	14-11-24 14:13	50.94
15208AA110	ELEM CP-OIL FLTR	g7	1	23-08-24 9:25	166.74
15208AA130	ELEM CP-OIL FLTR	g7	15	17-08-23 12:11	20.33
15208AA160	ELEM CP-OIL FLTR	g7	4	12-05-25 12:57	127.42
15208AA170	ELEM CP-OIL FLTR	g7	3	23-10-24 15:57	126.37
1567C6	FUEL FILTER	E4	21	27-05-25 14:51	127.52
15778699	SEAL-FUEL PRESS SEN	E5	4	08-08-23 14:04	0.01
