Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
1323C5,WATER PIPE,D1,1,26-04-2023 14:35:31,196.47
1333721335,GEAR-DRIVEN SPEEDO,F1,1,29-09-2023 11:15:03,507.47
1333790080,GASKET; BUSHING,F1,1,18-03-2024 11:38:34,87.46
1335491240,BUSHING- QUAD BOX,F1,1,04-07-2023 08:27:25,0.01
1336194270,SEAT; BALL CHAN,F1,1,16-04-2025 13:49:08,82
1336194290,SEAT; CHANGE LE,F1,2,16-04-2025 13:49:08,152.42
1336194372,LEVER; SELECT,F1,1,07-07-2022 09:05:40,0.01
13368875,BRACKET RIGHT,D1,1,02-05-2025 14:38:13,223.05
1336J4,WATER OUTLET,D1,1,28-06-2024 13:04:21,0.01
1336Z1,HOUSING SEAL,D1,4,24-01-2024 14:12:43,41.13
13373508,LINER-FRT FENDER-RH,CONTAINER,1,02-05-2025 14:38:13,1447.95
13387155,EXTENSION L- ANTHRAC,E2,1,02-05-2025 14:38:13,3036.75
1338G5,THERMOST GASKET,D6,1,28-06-2024 13:04:21,0.01
13399232,ENERGY ABSORBER-FRT,E2,1,07-05-2025 15:44:57,1245.12
13402376,BAFFLE-RAD AIR UPR,E2,1,28-06-2024 13:04:21,0.01
13402386,BAFFLE ASM-RAD AIR S,E1,1,07-05-2025 15:44:57,846.47
134055,O-RING,D1,7,04-07-2023 08:27:25,0.01
13418686,GUIDE PIN KIT (FRT B,D1,1,20-09-2023 14:56:21,0.01
13419795,INSERT-FRT FOG LP OP,D1,1,07-05-2025 15:44:57,944.81
13419847,PANEL PKG-RR BPR VAL,E4,1,01-04-2025 10:11:41,1166.54
13454503,HOUSING ASM-RR T/SIG,D1,1,01-04-2025 10:11:41,3587.67
13469267,LAMP ASM-HIGH MT STO,C2,1,02-05-2025 14:36:49,1613.42
13502036,INSULATOR-RR S/D O/S HDL-CRUZE-17,D1,1,15-07-2022 12:50:59,31.46
13505773,BULB-HDLP POSN,D1,3,20-09-2023 14:56:21,0.01
13578283,LOCK ASM-RR S/D,D1,1,28-06-2024 13:04:21,0.01
1423130320,CAP- HUB-FRT AXLE,F1,1,06-03-2025 13:59:07,242.75
1423311062,PIN-WHEEL-RR RH,F2,24,22-09-2021 11:06:49,59.46
1423311121,PIN; WHEEL;FRT,F2,10,07-07-2022 09:05:40,0.01
1423321121,PIN; WHEEL FRT,F2,11,07-07-2022 09:05:40,0.01
1423330550,NUT; WHEEL;FRT,F2,9,08-05-2025 14:54:25,46.05
1423340223,NUT- WHL- FRT AXLE,F2,13,01-02-2021 08:22:33,40.02
1423370101,B- PIN- WHEEL- RR A,F2,16,04-07-2023 08:27:25,0.01
1423370671,PIN; WHEEL; FRT,F2,4,05-03-2025 14:51:18,130.27
1431160022,BOLT; KEY KING,F1,1,29-04-2025 10:21:02,67.09
143416,HOSE SEAL,D1,1,25-01-2024 14:22:14,97.99
1471310450,"PIN; ANCHOR,RR WHEE",F2,2,13-05-2025 13:32:32,728.07
1471330100,PLATE; LOCK,F2,2,13-05-2025 13:32:32,131.14
1474590131,CONNECTOR- AIR TANK,F2,4,04-07-2023 08:27:25,0.01
1476010101,CYLINDER; WHEEL,F2,1,04-04-2025 14:03:26,2697.28
1476010111,CYLINDER; WHEEL,F2,1,04-04-2025 14:03:26,2482.33
1476010870,EXPANDER,F2,1,19-03-2025 13:59:00,6113.12
1476191380,ROLLER- WEDGE,F2,2,29-09-2023 15:05:09,33.61
1482403541,VALVE- RELAY RWD RR,F2,1,27-02-2025 13:21:36,2813.73
1513562700,BOLT CENTRE-LEAF SP,F2,4,26-03-2025 12:41:51,416.97
1513711953,BOLT U;RR SPR,F2,4,04-04-2025 11:17:42,240.51
1513820104,PLATE- SIDE,F2,2,28-06-2024 13:04:21,0.01
1516308300,ABSORBER ASM-SHOCK,H1,1,24-01-2025 12:25:59,4189.55
1517890281,CLAMP,F1,1,26-09-2023 12:34:57,174.75
1517890511,BUSHING,F2,1,08-05-2025 14:53:29,315.58
1517890520,BUSHING,F2,1,08-05-2025 14:53:29,316.5
1533590470,PAD,F2,1,04-04-2025 14:03:26,307.84
1597,RIM CLEANER,SUBARU STAND,1,26-07-2024 15:47:37,165.88
1599,COCKPIT CARE CITRUS,SUBARU STAND,4,28-06-2024 13:04:21,0.01
15W40LCV,LCV - JMAX 15w40 ENGINE OIL,Bulk Tank BB,861.1,12-02-2025 09:12:58,57.08
1600031,E-CAB SIDE STEPS,ACCESSORY CONTAINER,1,29-06-2022 11:31:15,4553.75
1600062,RT850 NUDGE BAR STAINLESS STEEL,ACCESSORY CONTAINER,2,22-10-2024 08:16:27,4050
1600093T,DMAX S/BAR D/CAB A,ACCESSORY CONTAINER,1,26-09-2024 12:14:06,4675
1600094BS,ROLL BAR,ACCESSORY CONTAINER,1,15-05-2023 10:47:54,4833.95
16-0114P,LINER CLIPS,A3,290,16-05-2022 14:17:46,15.12
1608722380,CLIP,D8,10,20-09-2024 13:31:21,46.5
1608733780,BAG OF 3 SEALS,D8,1,24-04-2025 13:40:10,340.79
1609848280,INJECTOR SEAL,D8,6,13-02-2025 12:30:42,68.39
1609848880,CIRCLIP,D8,16,13-02-2025 12:28:55,7.41
1610564580,INJECTOR SEAL,D8,6,13-02-2025 12:28:55,69.04
1610745980,BUMPER MOULDING,GRANT,1,27-03-2025 15:04:50,1756.85
1611271780,CLUTCH KIT,H2,1,11-02-2025 08:39:55,4820.98
1612189980,FUSE-BOX,D8,1,28-06-2024 13:04:21,0.01
1617022180,RECESS DOOR,D8,1,28-06-2024 13:04:21,0.01
1617023780,FINISHER BUMPER,D8,1,28-06-2024 13:04:21,0.01
1618000680,BARE HEADLAMP,C2,1,27-02-2025 13:02:44,14571.21
1627A1,MODULE SEAL,D1,2,10-07-2023 16:24:50,313.56
1633557280,REAR BUMPER,Bulk,1,29-04-2025 14:28:26,5415.42
1635155780,WIPER BLADE,D7,4,09-09-2024 13:48:35,160.52
1638191680,STAPLE,D8,9,21-08-2023 14:37:56,16.92
1640399011LND,FUEL FILTER,A3,1,20-10-2023 14:48:20,186.54
1661,LEMON SPEEDSTER FRESH,SUBARU STAND,7,19-06-2023 16:49:30,22.53
166383561T,FRONT BUMPER,(blanks),1,14-05-2025 14:46:55,8268.04
1665665580,FRONT WING,CONTAINER,1,02-04-2025 15:04:16,2716.64
1665667780,BUMPER BRACKET,D8,1,18-04-2024 14:32:03,568.78
1666660180,E:CLU H BEAR AM,(blanks),1,13-05-2025 08:44:42,1586.23
1666682080,STEER WHEEL PAD,D8,1,02-04-2025 15:04:16,5591
1666682180,PASSENG AIRBAG,D8,1,02-04-2025 15:04:16,5591
1666682480,BOX CDE S/G,D8,1,10-04-2025 14:51:03,3993.47
1666682580,SHOCK SENSOR,D8,1,02-04-2025 15:04:16,403.94
1666727880,FRONT LIGHT LH,D8,1,02-04-2025 15:04:16,3509.85
1666741580,WING MOULDING,D8,1,10-04-2025 14:51:03,164.77
1666749080,BUMPER BRACKET,D8,1,02-04-2025 15:04:16,475.26
1666749280,FRONT BUMPER,ALLAN,1,02-04-2025 15:04:16,6890.8
1666749680,BUMPR DEFLECTOR,E4,1,02-04-2025 15:04:16,981.42
1666750380,BUMPER MOULDING,D8,1,02-04-2025 15:04:16,620.56
1666751080,AIR DEFLECTOR,D8,1,02-04-2025 15:04:16,244.48
1666751180,AIR DEFLECTOR,D8,1,02-04-2025 15:04:16,230.65
1666751280,MUDGUARD,CONTAINER,1,02-04-2025 15:04:16,1277.68
1666752280,MUDFLAPS,E4,1,06-05-2025 13:48:49,311.7
1667791580,BUMPER CROSSMBR,E1,1,02-04-2025 15:04:16,1905.18
1667797380,SUPPORT F/WING,D8,1,02-04-2025 15:04:16,379.57
1667816680,E:4 RR BR PADS,D8,1,11-04-2025 14:41:57,502.18
1668203180,AIR FILTER,E3,1,10-04-2025 14:49:41,1794.21
1668203680,EXCHANGER,CONTAINER,2,09-05-2025 10:28:17,10278.94
1671719580,BRACKET,E1,1,02-04-2025 15:04:16,1623.66
1680128880,13-WAY HARNESS,D8,1,11-11-2024 15:42:25,5340.9
1681513780,DEGASSING TANK,D8,1,02-04-2025 15:04:16,1266.16
1682165680,FACIA PANEL,CONTAINER,1,02-04-2025 15:07:23,11850.47
1682166680,HEADLIGHT ASSY,C2,1,02-04-2025 15:04:16,6145.09
1687252880,BELT BUCKLE,D8,1,08-04-2025 08:43:02,499.16
1689006480,PROOFING SHIELD,E4,1,22-04-2025 14:32:12,760.76
1689096780,PROOFING SHIELD,E1,1,02-04-2025 15:07:23,1215.19
1689096880,BUMPER BRACKET,E4,1,02-04-2025 15:04:16,1117.22
1689097680,ENGINE BONNET,CONTAINER,1,02-04-2025 15:11:58,11137.62
1689098280,RADIATOR NEW,CONTAINER,1,10-04-2025 14:51:03,8464.72
1689099380,SAFETY BELT,ALLAN,1,22-04-2025 14:23:05,2158.11
1690620080,PRESS LABEL,D8,1,06-10-2023 14:00:50,5.85
1739084231,CABLE ASM; IDL CONT,F2,1,17-04-2025 11:41:32,499.11
1744181345,REGULATOR- WIND- LH,E2,1,10-12-2024 13:52:35,1648.94
1744181445,REGULATOR- WIND- RH,E2,1,20-12-2024 12:19:16,1425.85
1745180943,LINK- INSIDE HANDLE,F2,1,10-12-2024 13:34:09,137.26
1747180224,HANDLE;INSIDE,F2,1,10-12-2024 13:34:09,622.98
1747180234,HANDLE- INSIDE- FRT,F2,1,10-12-2024 13:34:09,945.27
1799315121,COVER; MUD;FRT,E2,6,21-02-2025 15:11:09,573.95
1821140160,RIM HEADLAMP,F2,2,18-06-2024 12:01:54,95.98
1832270180,SENSOR SPEED,F2,1,04-04-2025 14:03:26,4287.85
1833181260,COVER; FRT WIPER AR,F2,2,26-09-2023 12:27:27,153.87
1834700601,UNIT; FLASHER,F2,1,07-05-2025 13:59:31,1326.33
1874110010,TUBE; NYLON,F2,1,28-06-2024 13:04:21,0.01
1874110742,BUSHING RUBBER TORQ,F2,2,14-05-2025 13:46:33,713.8
1876100641,ELEMENT; OIL FILTER,B4,50,14-02-2025 09:26:36,343.97
1876100934,ELEMENT; FUEL FILTE,B1,126,14-02-2025 09:26:36,221.84
1876100942,ELEMENT; FUEL FILTE,B1,28,21-02-2025 15:11:09,463.79
1876101080,BEARING; CLU RELEAS,F2,1,09-05-2025 14:03:39,385.34
1876101090,BEARING; CLU RELEAS,F2,1,14-05-2025 13:46:33,879.44
1876101132,FILTER; ACL,A1,19,11-03-2025 14:19:40,800.18
1876101141,FILTER- ACL-INNER,A1,9,22-07-2024 15:05:00,417.53
1876101190,DISC CLUTC,C1,1,25-11-2024 11:50:25,1835.62
1876101191,DISC- CLUTCH,C1,4,14-02-2025 14:31:55,1987.49
1876101200,PLATE ASM; PRESSURE,C1,3,07-05-2025 13:47:53,2988.69
1876101450,PLATE ASM; PRESSURE,C1,1,12-05-2025 13:33:28,2942.58
1876101460,PLATE ASM - CLU PRE,C1,1,14-05-2025 13:50:13,3184.04
1876101610,BEARING- CLU RELEAS,F2,1,12-03-2025 11:52:52,993.83
1876102330,"FILTER; ACL,INN",A1,6,14-02-2025 14:31:55,495.48
1876102370,BELT; COOLING FAN,G3,4,11-03-2025 14:19:40,365.36
1876102390,BELT; COOLING FAN 1,G3,9,14-02-2025 09:16:00,277.37
1877020110,BESCO LLC SUPER TYP,OIL,297,27-11-2024 14:20:54,243.98
1878305620,REPAIR KIT-RR WHL C,F2,2,07-07-2022 09:05:40,0.01
18MD,SILICONE SPRAY,G1,2,03-04-2025 11:59:49,55.46
19348772,ELEMENT ASM-A CL TB-13-18T/MULTI,A3,1,25-04-2025 13:55:54,427.05
19348772,ELEMENT ASM-A CL TB,A3,1,09-04-2025 13:41:20,228.09
198263,INJ HOLDER NUT,D1,1,28-06-2024 13:04:21,0.01
1982F7,INJECT PROTECTR,D1,2,04-07-2023 08:27:25,0.01
1K0807184,PEICE,JASON OFFICE,1,30-01-2025 15:43:22,367.5
2003539,BOLT - WHEEL,D1,45,13-05-2025 13:30:15,15.28
2009540,BEARING AND SEAL AS,D1,1,30-04-2025 13:32:26,1306.29
2010953,SEAL - OIL,D1,1,06-03-2025 13:59:07,106.91
2011330,SEAL - OIL,D1,1,30-04-2025 13:32:26,89.08
2011453,L WASHER - LOCKNUT,D1,2,25-03-2024 11:30:18,29.61
2011913,GUIDE - AXLE SHAFT,D1,1,12-07-2023 14:14:24,20.83
2016942,RING - O,D1,1,06-03-2025 13:59:07,40.58
2017185,SWITCH DIFF LOCK,D1,1,14-04-2025 14:24:27,1591.88
2019485,RING - TONE WHEEL(A,D1,1,03-02-2025 13:51:31,211.89
2019486,HOUSING - BRG FIN,D1,1,28-06-2024 13:04:21,0.01
20414FG020,RUB BUSH STAB,D8,1,27-11-2024 12:26:44,72.19
20560AA000,WASHER (CAM)     4WD,D8,2,28-06-2024 13:04:21,0.01
21640,RAT-BAN SPRAY,SUBARU STAND,1,05-02-2025 15:40:01,98.29
2264277009,PLATE/RTNR LH,F2,5,04-07-2023 08:27:25,0.01
2264277010,PLATE/RTNR RH,F2,5,04-07-2023 08:27:25,0.01
24404291,CLIP,D1,4,20-09-2023 14:56:21,0.01
24579282,GASKET-OIL PAN CLRDO-13,D1,3,18-10-2023 12:31:06,171.19
24587687,SHAFT - MAIN,D1,1,15-04-2024 12:46:28,1046.49
24590404,PULLEY ASM-BELT IDLE,D1,1,31-08-2023 12:49:07,377.63
25182770,VALVE GASKET,D1,4,20-03-2024 12:14:13,46.38
25182778,BELT,G3,1,28-06-2024 13:04:21,0.01
25192985,OUTLET-WAT,D1,1,29-07-2024 09:53:10,544.84
25204450,HALF BEARING,D1,4,01-07-2024 12:39:17,1111.05
280508160,BOLT/SCREW,F2,3,14-02-2025 14:02:42,27.59
280508350,BOLT; GEAR CASE,D1,2,26-04-2022 11:46:06,61.05
280510160,BOLT/SCREW,F2,10,20-05-2024 14:25:22,38.7
280510250,BOLT/SCREW,D1,16,18-09-2023 12:11:57,45.72
280512500,BOLT/SCREW,D1,1,04-07-2023 08:27:25,0.01
286508200,BOLT/SCREW,F2,12,10-03-2025 12:02:52,24.98
286510250,BOLT/SCREW,D1,1,15-04-2025 13:22:06,32.03
